filename,emotion_recode2,added_manually,sample_weight
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/415704_217248_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/909204_470573_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/925361_479271_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1300041_675720_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1158252_589138_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1528515_815631_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/448706_235429_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/671029_344879_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1184149_602260_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/395208_202945_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1446295_763985_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1508311_803204_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1630791_880756_image.jpeg,Optimistic,0,3
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/873306_447673_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1008614_529041_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1338450_698179_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1536624_821459_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/188315_97557_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/914369_474472_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1528858_815932_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/973249_513210_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1438804_758562_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/578559_314453_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/564767_304193_image.jpeg,Hostile,0,0.75
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1586621_851677_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1262087_652026_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/882583_453061_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/852120_433986_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1008268_528752_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/897170_461158_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1586752_851776_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1025520_541129_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/415662_217198_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/915906_475330_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/598027_328184_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/970649_511286_image.jpeg,Neutral,0,2
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/358282_181162_image.jpeg,Pessimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1423884_749154_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1190640_607320_image.jpeg,Optimistic,0,4
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1417058_743623_image.jpeg,Neutral,0,2
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/305404_157861_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/195254_102976_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/678129_349194_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1354323_709602_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/323128_170625_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1615018_873532_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/299212_152813_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1339090_698549_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/587852_321068_image.jpeg,Hostile,0,0.5
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/996773_521525_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1234131_632553_image.jpeg,Neutral,0,3
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/488590_261019_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1177405_597931_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/970457_511153_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1587501_852320_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1039005_547345_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/852459_434303_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1513346_806467_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/741085_383145_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1158242_589126_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1630587_880620_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1285868_664956_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/716219_375000_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/536517_285286_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/980468_517040_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/511399_276115_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1014644_533950_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/667312_341967_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/256491_134162_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1138585_575644_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1501760_798167_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1014016_533499_image.jpeg,Neutral,0,2
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1450115_766606_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/965588_506866_image.jpeg,Neutral,0,4
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1583763_849808_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/548246_293294_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/481694_255611_image.jpeg,Pessimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1002489_524346_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1022586_539467_image.jpeg,Pessimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1108388_561106_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/769073_404165_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/392717_201269_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/933349_485291_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1457843_771612_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1122520_565307_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1045193_551721_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/495828_265436_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/548265_293300_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/617795_331650_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/252010_130571_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/779152_411987_image.jpeg,Hostile,0,3
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/549731_294290_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1274146_660595_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1287517_666079_image.jpeg,Pessimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/481539_255514_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1503436_799362_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/588189_321395_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/484567_257299_image.jpeg,Pessimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1457707_771529_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/778892_411788_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/415860_217406_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1247731_641726_image.jpeg,Optimistic,0,4
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/239173_119973_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/932881_485011_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/709191_370338_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/255940_133760_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/483890_256970_image.jpeg,Pessimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1013982_533472_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1310254_683306_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/924602_478621_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/934604_486159_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/873437_447799_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/425614_224165_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/547247_292681_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/409478_212787_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/671055_344888_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/897204_461192_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/763088_399462_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/707772_369281_image.jpeg,Neutral,0,0.5
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1045222_551751_image.jpeg,Pessimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/617763_331648_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/925083_479053_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1250680_643848_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/439366_229155_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/298505_152558_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/934798_486249_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/588511_321633_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/256477_134155_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1008210_528698_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1008141_528632_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1595094_858784_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/428094_225681_image.jpeg,Neutral,0,4
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/549745_294293_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/357729_180967_image.jpeg,Neutral,0,0.5
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1223912_629861_image.jpeg,Neutral,0,3
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1373876_723403_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1446082_763798_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1223635_629651_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/914028_474188_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1345323_702781_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/973533_513373_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1602727_864320_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/256420_134116_image.jpeg,Hostile,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/403310_209113_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1532479_818636_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/875481_449072_image.jpeg,Neutral,0,3
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/389829_199214_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/978079_515457_image.jpeg,Neutral,0,4
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/536503_285276_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/331897_176496_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/409412_212725_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/1027266_542286_image.jpeg,Pessimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/924818_478819_image.jpeg,Optimistic,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/909140_470506_image.jpeg,Neutral,0,1
/home/simon/Documents/Zwischen Wörtern und Pixeln/Sample_Dataset/Reichel/images_with_faces/184919_94367_image.jpeg,Hostile,0,1
